word	target	forms	processes	indicators	reactions	smile
du					positive	S0
coup					positive	S0
je					positive	S0
sai-					positive	S0
je					positive	S0
connais					positive	S0
pas					positive	S0
euh					positive	S0
le					positive	S0
le					positive	S0
contenu					positive	S0
du					positive	S0
texte					positive	S0
que					positive	S0
tu					positive	S0
lis					positive	S0
ah					positive	S0
d					positive	S0
accord					positive	S0
putain					positive	S1
alors						positive	S1
attends					positive	S1
ça					positive	S4
t'arrangerait					positive	S4
pas					positive	S4
de					positive	S4
lire					positive	S4
mon					positive	S4
texte					positive	S4
parce					positive	S4
parce					positive	S4
que					positive	S4
du					positive	S4
coup					positive	S4
je					positive	S4
vois					positive	S4
rien					positive	S4
je					positive	S0
lis					positive	S0
à					positive	S0
voix					positive	S0
haute					positive	S0
ou					positive	S0
euh					positive	S0
à					positive	S0
voix					positive	S0
haute					positive	S0
ah					positive	S0
ouais					positive	S0
d'accord					positive	S0
ok					positive	S0
c'est					positive	S0
à					positive	S0
voix					positive	S0
t'					positive	S0
t'est					positive	S0
tu					positive	S0
est					positive	S0
sûr					positive	S0
t'es					positive	S0
sûr					positive	S0
ok					positive	S0
moi					positive	S0
j'ai					positive	S0
l'impression					positive	S0
qu'					positive	S0
il					positive	S0
e					positive	S0
un					positive	S0
peu					positive	S0
plus					positive	S0
long					positive	S0
le					positive	S0
mien					positive	S0
t					positive	S0
as					positive	S0
le					positive	S0
droit					positive	S0
de					positive	S0
le					positive	S0
relire					positive	S0
relis					positive	S0
le					positive	S0
un					positive	S0
deuxième					positive	S0
fois					positive	S0
peût-être					positive	S0
non					positive	S0
Ok					positive	S0
ça					positive	S0
va					positive	S0
donc					positive	S0
on					positive	S0
a					positive	S0
une					positive	S0
voiture					positive	S0
un					positive	S0
accident					positive	S0
un					positive	S0
journaliste					positive	S0
alors					positive	S0
je					positive	S0
te					positive	S0
lis					positive	S0
mon					positive	S0
histoire					positive	S0
alors	A	blague	blague		positive	S0
le	A	blague	blague		positive	S0
titre	A	blague	blague		positive	S0
frog	A	blague	blague		positive	S0
joke	A	blague	blague		positive	S0
un	A	blague	blague		positive	S0
jour	A	blague	blague		positive	S0
un	A	blague	blague		positive	S0
ingénieur	A	blague	blague		positive	S0
traversait	A	blague	blague		positive	S0
la	A	blague	blague		positive	S0
rue	A	blague	blague		positive	S0
quand	A	blague	blague		positive	S0
une	A	blague	blague		positive	S0
grenouille	A	blague	blague		positive	S0
l	A	blague	blague		positive	S0
interpella	A	blague	blague		positive	S0
et	A	blague	blague		positive	S0
dit	A	blague	blague		positive	S0
si	A	blague	blague		positive	S0
tu	A	blague	blague		positive	S0
m'embrasses	A	blague	blague		positive	S0
je	A	blague	blague		positive	S0
me	A	blague	blague		positive	S0
transforme	A	blague	blague		positive	S0
en	A	blague	blague		positive	S0
belle	A	blague	blague		positive	S0
princesse	A	blague	blague		positive	S0
il	A	blague	blague		positive	S0
s'accroupit	A	blague	blague		positive	S0
ramassa	A	blague	blague		positive	S0
la	A	blague	blague		positive	S0
grenouille	A	blague	blague		positive	S0
et	A	blague	blague		positive	S0
la	A	blague	blague		positive	S0
mis	A	blague	blague		positive	S0
dans	A	blague	blague		positive	S0
sa	A	blague	blague		positive	S0
poche	A	blague	blague		positive	S0
la	A	blague	blague		positive	S0
grenouille	A	blague	blague		positive	S0
reprit	A	blague	blague		positive	S0
la	A	blague	blague		positive	S0
parole	A	blague	blague		positive	S0
et	A	blague	blague		positive	S0
dit	A	blague	blague		positive	S0
si	A	blague	blague		positive	S0
tu	A	blague	blague		positive	S0
m'embrasses	A	blague	blague		positive	S0
et	A	blague	blague		positive	S0
me	A	blague	blague		positive	S0
transformes	A	blague	blague		positive	S0
en	A	blague	blague		positive	S0
belle	A	blague	blague		positive	S0
princesse	A	blague	blague		positive	S0
je	A	blague	blague		positive	S0
resterai	A	blague	blague		positive	S0
avec	A	blague	blague		positive	S0
toi	A	blague	blague		positive	S0
une	A	blague	blague		positive	S0
semaine	A	blague	blague		positive	S0
l	A	blague	blague		positive	S0
ingénieur	A	blague	blague		positive	S0
sortit	A	blague	blague		positive	S0
la	A	blague	blague		positive	S0
grenouille	A	blague	blague		positive	S0
de	A	blague	blague		positive	S0
sa	A	blague	blague		positive	S0
poche	A	blague	blague		positive	S0
lui	A	blague	blague		positive	S0
sourit	A	blague	blague		positive	S0
et	A	blague	blague		positive	S0
la	A	blague	blague		positive	S0
remit	A	blague	blague		positive	S0
dans	A	blague	blague		positive	S0
sa	A	blague	blague		positive	S0
poche	A	blague	blague		positive	S0
puis	A	blague	blague		positive	S0
la	A	blague	blague		positive	S0
grenouille	A	blague	blague		positive	S0
se	A	blague	blague		positive	S0
mit	A	blague	blague		positive	S0
à	A	blague	blague		positive	S0
crier	A	blague	blague		positive	S0
si	A	blague	blague		positive	S0
tu	A	blague	blague		positive	S0
m'embrasses	A	blague	blague		positive	S0
et	A	blague	blague		positive	S0
me	A	blague	blague		positive	S0
transformes	A	blague	blague		positive	S0
en	A	blague	blague		positive	S0
princesse	A	blague	blague		positive	S0
je	A	blague	blague		positive	S0
resterai	A	blague	blague		positive	S0
avec	A	blague	blague		positive	S0
toi	A	blague	blague		positive	S0
et	A	blague	blague		positive	S0
je	A	blague	blague		positive	S0
ferai	A	blague	blague		positive	S0
tout	A	blague	blague		positive	S0
ce	A	blague	blague		positive	S0
que	A	blague	blague		positive	S0
tu	A	blague	blague		positive	S0
veux	A	blague	blague		positive	S0
micro	A	blague	blague		positive	S0
alors	A	blague	blague		positive	S0
c'est	A	blague	blague		positive	S0
pas	A	blague	blague		positive	S0
fini	A	blague	blague		positive	S0
l	A	blague	blague		positive	S0
ingénieur	A	blague	blague		positive	S0
sorti	A	blague	blague		positive	S0
encore	A	blague	blague		positive	S0
la	A	blague	blague		positive	S0
grenouille	A	blague	blague		positive	S0
de	A	blague	blague		positive	S0
sa	A	blague	blague		positive	S0
poche	A	blague	blague		positive	S0
lui	A	blague	blague		positive	S0
sourit	A	blague	blague		positive	S0
et	A	blague	blague		positive	S0
la	A	blague	blague		positive	S0
remit	A	blague	blague		positive	S0
dans	A	blague	blague		positive	S0
sa	A	blague	blague		positive	S0
poche	A	blague	blague		positive	S0
enfin	A	blague	blague		positive	S0
la	A	blague	blague		positive	S0
grenouille	A	blague	blague		positive	S0
demande	A	blague	blague		positive	S0
qu'est-ce	A	blague	blague		positive	S0
qu'il	A	blague	blague		positive	S0
y	A	blague	blague		positive	S0
a	A	blague	blague		positive	S0
je	A	blague	blague		positive	S0
t'ai	A	blague	blague		positive	S0
dit	A	blague	blague		positive	S0
que	A	blague	blague		positive	S0
j'étais	A	blague	blague		positive	S0
une	A	blague	blague		positive	S0
belle	A	blague	blague		positive	S0
princesse	A	blague	blague		positive	S0
que	A	blague	blague		positive	S0
je	A	blague	blague		positive	S0
resterai	A	blague	blague		positive	S0
avec	A	blague	blague		positive	S0
toi	A	blague	blague		positive	S0
une	A	blague	blague		positive	S0
semaine	A	blague	blague		positive	S0
et	A	blague	blague		positive	S0
que	A	blague	blague		positive	S0
je	A	blague	blague		positive	S0
ferai	A	blague	blague		positive	S0
tout	A	blague	blague		positive	S0
ce	A	blague	blague		positive	S0
que	A	blague	blague		positive	S0
tu	A	blague	blague		positive	S0
veux	A	blague	blague		positive	S0
pourquoi	A	blague	blague		positive	S0
ne	A	blague	blague		positive	S0
m'embrasses-tu	A	blague	blague		positive	S0
pas	A	blague	blague		positive	S0
l	A	blague	blague		positive	S0
ingénieur	A	blague	blague		positive	S0
répondu	A	blague	blague		positive	S0
écoute	A	blague	blague		positive	S0
je	A	blague	blague		positive	S0
suis	A	blague	blague		positive	S0
un	A	blague	blague		positive	S0
ingénieur	A	blague	blague		positive	S0
je	A	blague	blague		positive	S0
n'ai	A	blague	blague		positive	S0
pas	A	blague	blague		positive	S0
le	A	blague	blague		positive	S0
temps	A	blague	blague		positive	S0
pour	A	blague	blague		positive	S0
une	A	blague	blague		positive	S0
petite	A	blague	blague		positive	S0
copine	A	blague	blague		positive	S0
mais	A	blague	blague		positive	S0
une	A	blague	blague		positive	S0
grenouille	A	blague	blague		positive	S0
qui	A	blague	blague		positive	S0
parle	A	blague	blague		positive	S0
ça	A	blague	blague		positive	S2
c'est	A	blague	blague		positive	S2
cool	A	blague	blague		positive	S2
euh						S4
t						S0
u						S0
veux						S0
que						S0
je						S0
