word	target	forms	processes	indicators	reactions	smile
non						S2
et						S2
moi						S2
non						S2
plus						S2
ha						S4
ha						S4
ha						S4
ha						S4
ha						S4
ha						S4
ha						S4
ha						S4
ha						S4
oui						S2
à						S2
voix						S2
haute						S2
mais						S2
oui						S2
oui						S2
une	A	blague	blague		negative	S2
voiture	A	blague	blague		negative	S2
a	A	blague	blague		negative	S2
été	A	blague	blague		negative	S2
impliquée	A	blague	blague		negative	S2
dans	A	blague	blague		negative	S2
un	A	blague	blague		negative	S2
accident	A	blague	blague		negative	S2
sur	A	blague	blague		negative	S1
la	A	blague	blague		negative	S1
route	A	blague	blague		negative	S1
et	A	blague	blague		negative	S1
comme	A	blague	blague		negative	S1
prévu	A	blague	blague		negative	S1
une	A	blague	blague		negative	S1
large	A	blague	blague		negative	S1
foule	A	blague	blague		negative	S1
euh	A	blague	blague		negative	S1
s'est	A	blague	blague		negative	S2
rassemblée	A	blague	blague		negative	S2
et	A	blague	blague		negative	S0
il	A	blague	blague		negative	S0
faut	A	blague	blague		negative	S0
qu'on	A	blague	blague		negative	S0
qu'on	A	blague	blague		negative	S0
échange	A	blague	blague		negative	S0
hein	A	blague	blague		negative	S0
un	A	blague	blague		negative	S0
journalix	A	blague	blague		negative	S0
un	A	blague	blague		negative	S0
journaliste	A	blague	blague		negative	S0
anxieux	A	blague	blague		negative	S0
d	A	blague	blague		negative	S0
avoir	A	blague	blague		negative	S0
son	A	blague	blague		negative	S0
histoire	A	blague	blague		negative	S0
ne	A	blague	blague		negative	S0
pouvait	A	blague	blague		negative	S0
pas	A	blague	blague		negative	S0
rapprocher	A	blague	blague		negative	S0
ne	A	blague	blague		negative	S0
pouvait	A	blague	blague		negative	S0
pas	A	blague	blague		negative	S0
s'approcher	A	blague	blague		negative	S0
de	A	blague	blague		negative	S0
la	A	blague	blague		negative	S0
voiture	A	blague	blague		negative	S0
et	A	blague	blague		negative	S0
étant	A	blague	blague		negative	S0
quelqu'un	A	blague	blague		negative	S0
de	A	blague	blague		negative	S0
malin	A	blague	blague		negative	S0
il	A	blague	blague		negative	S0
se	A	blague	blague		negative	S0
mit	A	blague	blague		negative	S0
à	A	blague	blague		negative	S0
crier	A	blague	blague		negative	S0
fort	A	blague	blague		negative	S0
laisser-moi	A	blague	blague		negative	S0
passer	A	blague	blague		negative	S0
laisser-moi	A	blague	blague		negative	S0
passer	A	blague	blague		negative	S0
je	A	blague	blague		negative	S0
suis	A	blague	blague		negative	S0
le	A	blague	blague		negative	S0
fils	A	blague	blague		negative	S0
de	A	blague	blague		negative	S0
la	A	blague	blague		negative	S0
victime	A	blague	blague		negative	S0
la	A	blague	blague		negative	S0
foule	A	blague	blague		negative	S0
s'écarta	A	blague	blague		negative	S0
pour	A	blague	blague		negative	S0
lui	A	blague	blague		negative	S0
étendu	A	blague	blague		negative	S0
devant	A	blague	blague		negative	S0
la	A	blague	blague		negative	S0
voiture	A	blague	blague		negative	S0
il	A	blague	blague		negative	S0
y	A	blague	blague		negative	S0
avait	A	blague	blague		negative	S0
un	A	blague	blague		negative	S0
âne	A	blague	blague		negative	S0
mh						S1
vas-y						S0
à						S0
